"","zip","year","price","flip_horizon","price_diff","mortgage","inv_to_inv","lat","lon","i2i_rank","perc_top_invested"
"380",2115,2010,491000,1564.5,18500,183400,0.131147540983607,42.3471310765027,-71.0878720601093,380,0.418070444104135
"381",2127,2010,365000,1633,9550,291100,0.130882352941176,42.3348881838235,-71.0440731808824,381,0.416539050535988
"382",2115,2009,463250,1410,32400,232150,0.130434782608696,42.3456503804348,-71.0890123913044,382,0.415007656967841
"383",2135,2015,382000,2746,95000,186200,0.129675810473815,42.345861882793,-71.1533592992519,383,0.413476263399694
"384",2114,2011,420000,2129,25950,224250,0.129353233830846,42.3612631741294,-71.0671110099503,384,0.411944869831547
"385",2134,2007,314900,1197,22700,230800,0.129353233830846,42.3526155223881,-71.1334469701493,385,0.4104134762634
"386",2116,2009,720000,1602,50000,270000,0.12933025404157,42.3489163556582,-71.0757818683603,386,0.408882082695253
"387",2136,2015,350000,2560,73550,292000,0.128813559322034,42.255536461017,-71.1235461254237,387,0.407350689127106
"388",2134,2004,320000,859,60000,216400,0.128378378378378,42.3519818885135,-71.1335313040541,388,0.405819295558959
"389",2124,2019,560000,2142,215000,439510,0.128272251308901,42.2865242408377,-71.071220526178,389,0.404287901990812
"390",2122,2006,320000,981.5,45000,255200,0.12751677852349,42.2976204362416,-71.0579046689038,390,0.402756508422665
"391",2118,2021,950000,2272,219000,552400,0.127083333333333,42.3405577854167,-71.0743696083333,391,0.401225114854518
"392",2114,2016,650000,2101,182500,326250,0.126903553299492,42.3611568020305,-71.0670855177665,392,0.399693721286371
"393",2130,2022,760000,2233,202000,518700,0.126732673267327,42.3118777247525,-71.1112476158416,393,0.398162327718224
"394",2114,2017,685000,2024,205000,409500,0.125714285714286,42.3615381428571,-71.0668183885714,394,0.396630934150077
"395",2119,2006,307150,794.5,63566,245920,0.125,42.3228065381944,-71.0859610208333,395,0.39509954058193
"396",2199,2002,1337500,69.5,60000,350350,0.125,42.3460255,-71.0838598333333,396,0.393568147013783
"397",2116,2004,615000,920.5,95000,316000,0.124550898203593,42.349133257485,-71.0746914874252,397,0.392036753445635
"398",2125,2006,330000,1012.5,67250,244000,0.124505928853755,42.3150523675889,-71.0620393735178,398,0.390505359877488
