"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"150064",25025010104,2215,601250,2430,0.419329073482428,55046,122097,533,962,19,184,3135,418,4528,117,2247,2816,5063,626,10,15,29,47,525,756,0
"150067",25025010104,2115,601250,2430,0.419329073482428,55046,122097,533,962,19,184,3135,418,4528,117,2247,2816,5063,626,10,15,29,47,525,756,0
"151387",25025010104,2205,601250,2430,0.419329073482428,55046,122097,533,962,19,184,3135,418,4528,117,2247,2816,5063,626,10,15,29,47,525,756,0
"151779",25025070700,2116,971500,2082,0.446428571428571,84125,250001,239,265,10,486,1372,393,1773,361,1215,1312,2527,420,0,3,21,21,375,1101.5,465750
"151781",25025070700,2118,971500,2082,0.446428571428571,84125,250001,239,265,10,486,1372,393,1773,361,1215,1312,2527,420,0,3,21,21,375,1101.5,465750
"152823",25025070700,2110,971500,2082,0.446428571428571,84125,250001,239,265,10,486,1372,393,1773,361,1215,1312,2527,420,0,3,21,21,375,1101.5,465750
"152890",25025070502,2118,882000,1874.5,0.46588693957115,16162,240990,865,629,3,254,1544,543,2364,486,1635,1758,3393,513,2,6,6,21,478,957,465750
"153240",25025070502,2116,882000,1874.5,0.46588693957115,16162,240990,865,629,3,254,1544,543,2364,486,1635,1758,3393,513,2,6,6,21,478,957,465750
"154126",25025070902,2118,735000,1986,0.451492537313433,53226,250001,398,239,2,331,1203,228,1779,293,1142,1158,2300,536,10,5,13,24,484,938,417000
"154215",25025070902,2116,735000,1986,0.451492537313433,53226,250001,398,239,2,331,1203,228,1779,293,1142,1158,2300,536,10,5,13,24,484,938,417000
"155414",25025070802,2118,819000,2050,0.424778761061947,65238,107772,266,218,6,363,1702,262,2142,281,1354,1331,2685,565,9,43,13,20,480,972,464000
